"chembl_id","who_name","level1","level2","level3","level4","level5","level1_description","level2_description","level3_description","level4_description"
"CHEMBL1000","cetirizine","R","R06","R06A","R06AE","R06AE07","RESPIRATORY SYSTEM","ANTIHISTAMINES FOR SYSTEMIC USE","ANTIHISTAMINES FOR SYSTEMIC USE","Piperazine derivatives"
"CHEMBL100116","pentazocine","N","N02","N02A","N02AD","N02AD01","NERVOUS SYSTEM","ANALGESICS","OPIOIDS","Benzomorphan derivatives"
"CHEMBL1004","doxylamine","R","R06","R06A","R06AA","R06AA09","RESPIRATORY SYSTEM","ANTIHISTAMINES FOR SYSTEMIC USE","ANTIHISTAMINES FOR SYSTEMIC USE","Aminoalkyl ethers"
"CHEMBL1004","doxylamine, combinations","R","R06","R06A","R06AA","R06AA59","RESPIRATORY SYSTEM","ANTIHISTAMINES FOR SYSTEMIC USE","ANTIHISTAMINES FOR SYSTEMIC USE","Aminoalkyl ethers"
"CHEMBL1005","remifentanil","N","N01","N01A","N01AH","N01AH06","NERVOUS SYSTEM","ANESTHETICS","ANESTHETICS, GENERAL","Opioid anesthetics"
"CHEMBL1006","amifostine","V","V03","V03A","V03AF","V03AF05","VARIOUS","ALL OTHER THERAPEUTIC PRODUCTS","ALL OTHER THERAPEUTIC PRODUCTS","Detoxifying agents for antineoplastic treatment"
"CHEMBL1007","gonadorelin","V","V04","V04C","V04CM","V04CM01","VARIOUS","DIAGNOSTIC AGENTS","OTHER DIAGNOSTIC AGENTS","Tests for fertility disturbances"
"CHEMBL1007","gonadorelin","H","H01","H01C","H01CA","H01CA01","SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS","PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES","HYPOTHALAMIC HORMONES","Gonadotropin-releasing hormones"
"CHEMBL1008","bepridil","C","C08","C08E","C08EA","C08EA02","CARDIOVASCULAR SYSTEM","CALCIUM CHANNEL BLOCKERS","NON-SELECTIVE CALCIUM CHANNEL BLOCKERS","Phenylalkylamine derivatives"
"CHEMBL1009","levodopa","N","N04","N04B","N04BA","N04BA01","NERVOUS SYSTEM","ANTI-PARKINSON DRUGS","DOPAMINERGIC AGENTS","Dopa and dopa derivatives"
"CHEMBL101","phenylbutazone","M","M01","M01A","M01AA","M01AA01","MUSCULO-SKELETAL SYSTEM","ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS","ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS","Butylpyrazolidines"
"CHEMBL101","phenylbutazone","M","M02","M02A","M02AA","M02AA01","MUSCULO-SKELETAL SYSTEM","TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN","TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN","Antiinflammatory preparations, non-steroids for topical use"
"CHEMBL1014","candesartan","C","C09","C09C","C09CA","C09CA06","CARDIOVASCULAR SYSTEM","AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM","ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN","Angiotensin II receptor blockers (ARBs), plain"
"CHEMBL1016","candesartan","C","C09","C09C","C09CA","C09CA06","CARDIOVASCULAR SYSTEM","AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM","ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN","Angiotensin II receptor blockers (ARBs), plain"
"CHEMBL1017","telmisartan","C","C09","C09C","C09CA","C09CA07","CARDIOVASCULAR SYSTEM","AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM","ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN","Angiotensin II receptor blockers (ARBs), plain"
"CHEMBL1018","dienestrol","G","G03","G03C","G03CC","G03CC02","GENITO URINARY SYSTEM AND SEX HORMONES","SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM","ESTROGENS","Estrogens, combinations with other drugs"
"CHEMBL1018","dienestrol","G","G03","G03C","G03CB","G03CB01","GENITO URINARY SYSTEM AND SEX HORMONES","SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM","ESTROGENS","Synthetic estrogens, plain"
"CHEMBL1020","tolmetin","M","M01","M01A","M01AB","M01AB03","MUSCULO-SKELETAL SYSTEM","ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS","ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS","Acetic acid derivatives and related substances"
"CHEMBL1020","tolmetin","M","M02","M02A","M02AA","M02AA21","MUSCULO-SKELETAL SYSTEM","TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN","TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN","Antiinflammatory preparations, non-steroids for topical use"
"CHEMBL1021","nepafenac","S","S01","S01B","S01BC","S01BC10","SENSORY ORGANS","OPHTHALMOLOGICALS","ANTIINFLAMMATORY AGENTS","Antiinflammatory agents, non-steroids"
"CHEMBL1023","bexarotene","L","L01","L01X","L01XX","L01XX25","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Other antineoplastic agents"
